Canal,Departamento,AFILIADOS,BUSCA PPC,COMPARADORES,Mês/Ano,CAT
3P,ELETRODOMÉSTICOS,-0.0051108156232574226,-0.026215203703508126,-0.005615016273282607,5/2021,-0.036941035600048154
3P,ELETRÔNICOS,-0.007547182751726959,-0.028435630679477526,-0.005181142110511585,5/2021,-0.04116395554171607
3P,PCS,-0.004166491227971747,-0.01414581243626185,-0.0021545807337499732,5/2021,-0.02046688439798357
3P,CLIMATIZAÇÃO,-0.003761189936142545,-0.016370195097114498,-0.0025097228961618746,5/2021,-0.022641107929418917
3P,ELETROPORTÁTEIS,-0.006428891756104747,-0.04003855092781203,-0.004274713295312196,5/2021,-0.05074215597922897
3P,INFORMÁTICA E ACESSÓRIOS,-0.00744842898612257,-0.049552054996437354,-0.0038132775163785522,5/2021,-0.06081376149893848
3P,UTILIDADES DOMÉSTICAS,-0.005065474939132894,-0.041285900838116014,-0.001748324794749446,5/2021,-0.04809970057199836
3P,AUTOMOTIVO,-0.0040413970603571225,-0.048970366054688574,-0.002495782533513877,5/2021,-0.05550754564855957
3P,CONSOLES & GAMES,-0.01228827146998909,-0.02309671667111607,-0.003553182078817895,5/2021,-0.03893817021992306
3P,ESPORTE & LAZER,-0.003165457593825452,-0.02519653071481138,-0.001597307052981821,5/2021,-0.02995929536161865
3P,PC GAMER,-0.009834128013720678,-0.039535770919318466,-0.003462245292580057,5/2021,-0.0528321442256192
3P,BELEZA & PERFUMARIA,-0.002952114256627971,-0.024108309806247615,-0.0007440361585513839,5/2021,-0.02780446022142697
3P,MÓVEIS,-0.0027373261892991224,-0.02084739893562065,-0.00066354806411119,5/2021,-0.024248273189030962
3P,INSTRUMENTOS MUSICAIS,-0.002880714844654306,-0.02895346195409691,-0.0011966382522389267,5/2021,-0.03303081505099014
3P,MERCADO,-0.008293112589625524,-0.02898033147872659,-0.0012010143573101713,5/2021,-0.038474458425662286
3P,TELEFONIA,-0.0028366790207632725,-0.011033338851475075,-0.0012538137869377915,6/2021,-0.01512383165917614
3P,ELETRODOMÉSTICOS,-0.0051247729558679496,-0.028578223657253335,-0.005352515772561626,6/2021,-0.03905551238568291
3P,ELETRÔNICOS,-0.006825296440020181,-0.031860960511132366,-0.0035239457873650947,6/2021,-0.042210202738517645
3P,PCS,-0.004019374906730836,-0.01441627682983962,-0.0017890409608690852,6/2021,-0.02022469269743954
3P,CLIMATIZAÇÃO,-0.0042153335956354515,-0.014442054008453201,-0.0019729836796018273,6/2021,-0.02063037128369048
3P,ELETROPORTÁTEIS,-0.0060489486498717,-0.041312263586010534,-0.0034609270888252856,6/2021,-0.05082213932470751
3P,INFORMÁTICA E ACESSÓRIOS,-0.006747608335143392,-0.048669506518404584,-0.0025965008371357516,6/2021,-0.05801361569068373
3P,UTILIDADES DOMÉSTICAS,-0.004233883208268688,-0.040677265762060814,-0.0010182104388257649,6/2021,-0.04592935940915527
3P,AUTOMOTIVO,-0.0030922337164282212,-0.05378624125854244,-0.0017244307279150799,6/2021,-0.058602905702885746
3P,CONSOLES & GAMES,-0.01949629118448053,-0.02151011070784149,-0.002367142818718912,6/2021,-0.043373544711040934
3P,ESPORTE & LAZER,-0.003608328461725344,-0.02458275251690174,-0.001643608515478389,6/2021,-0.029834689494105473
3P,PC GAMER,-0.00947855888258261,-0.043368032470499196,-0.0028110883840188304,6/2021,-0.05565767973710063
3P,BELEZA & PERFUMARIA,-0.002762713742336427,-0.021818280795845652,-0.000626729171494976,6/2021,-0.025207723709677058
3P,MÓVEIS,-0.002522645670963333,-0.02209905210703883,-0.0006374512853081156,6/2021,-0.02525914906331028
3P,INSTRUMENTOS MUSICAIS,-0.00350075520026737,-0.027017719449451413,-0.0009569766537994052,6/2021,-0.031475451303518184
3P,MERCADO,-0.006795335317276371,-0.030752652437268654,-0.000885178959041024,6/2021,-0.038433166713586056
3P,TELEFONIA,-0.0021882077458001115,-0.009802769948676484,-0.0013520858465921515,7/2021,-0.013343063541068748
3P,ELETRODOMÉSTICOS,-0.0039060289016186822,-0.025217365902585456,-0.0051941801608125625,7/2021,-0.0343175749650167
3P,ELETRÔNICOS,-0.005992631711703055,-0.027728194189343917,-0.0033488725172768573,7/2021,-0.037069698418323825
3P,PCS,-0.0037172604578491527,-0.012209908451008004,-0.0016459357071488987,7/2021,-0.017573104616006054
3P,CLIMATIZAÇÃO,-0.0032848924732316155,-0.012972896327540692,-0.002224729245403565,7/2021,-0.018482518046175872
3P,ELETROPORTÁTEIS,-0.004708940165132083,-0.03722360449211466,-0.003822408944618709,7/2021,-0.045754953601865454
3P,INFORMÁTICA E ACESSÓRIOS,-0.004810797970379239,-0.04384863215397354,-0.0033372367497474073,7/2021,-0.05199666687410019
3P,UTILIDADES DOMÉSTICAS,-0.003459516986857813,-0.0360250625777998,-0.0016970926486768244,7/2021,-0.041181672213334436
3P,AUTOMOTIVO,-0.0030696565864719023,-0.040648341929192394,-0.0016256744861343016,7/2021,-0.0453436730017986
3P,CONSOLES & GAMES,-0.01917584229813336,-0.019955104662417837,-0.002881683514001742,7/2021,-0.042012630474552934
3P,ESPORTE & LAZER,-0.0031153963645422266,-0.01983529839645018,-0.0013865915959497585,7/2021,-0.024337286356942163
3P,PC GAMER,-0.006881099784520856,-0.03671582015673547,-0.003160830996466962,7/2021,-0.04675775093772328
3P,BELEZA & PERFUMARIA,-0.001709360441837125,-0.02085879419838249,-0.0005803345428055984,7/2021,-0.023148489183025214
3P,MÓVEIS,-0.002375950929961886,-0.017312908292999484,-0.000627246349470303,7/2021,-0.020316105572431672
3P,INSTRUMENTOS MUSICAIS,-0.002559939217834963,-0.021351837900912756,-0.0012512224721859398,7/2021,-0.025162999590933658
3P,MERCADO,-0.007475189236139984,-0.020320341094407245,-0.000770944220439261,7/2021,-0.028566474550986487
3P,TELEFONIA,-0.0031157510913122372,-0.014143128200705029,-0.0015488551404550814,8/2021,-0.018807734432472346
3P,ELETRODOMÉSTICOS,-0.00560478211833372,-0.03586689505610173,-0.006388611406189262,8/2021,-0.047860288580624716
3P,ELETRÔNICOS,-0.007882137404418807,-0.043025029335488185,-0.007188290048800856,8/2021,-0.05809545678870785
3P,PCS,-0.005781240654856006,-0.017728646747856545,-0.0028168604810648447,8/2021,-0.026326747883777396
