Canal,Marca,Origem Tráfego,MDP,Parcelamento,Receita,Pedidos,Mês/Ano,Custo Parcelamento,Volume Venda
1P,SHOP,BUSCA PPC,CARTAO,A VISTA,5429.22085301688,99.85827254400002,4/2021,0.0,542152.6156421278
3P,SHOP,TRAFEGO DIRETO,BOLETO,A VISTA,46509.75595926625,399.65533128,5/2020,0.0,18587871.925652508
3P,SUBA,AFILIADOS,AME,A VISTA,19723.99988578881,74.69564088000001,3/2022,0.0,1473296.8121860418
1P,ACOM,TRAFEGO DIRETO,BOLETO,A VISTA,1379.7769958366405,16.153544088000004,4/2021,0.0,22288.28853385537
3P,ACOM,BUSCA PPC,BOLETO,A VISTA,577605.0673202502,6008.22320277,9/2020,0.0,3470380167.5110555
1P,SHOP,BUSCA ORGANICA,BOLETO,A VISTA,180.4375918884,2.6182629600000005,3/2021,0.0,472.4330634329943
1P,SHOP,BUSCA ORGANICA,AME,A VISTA,773.2831091103898,11.656613829,5/2020,0.0,9013.862583388283
1P,SUBA,AFILIADOS,AME,A VISTA,5155.515325720761,66.332976738,1/2022,0.0,341980.6781734377
1P,ACOM,BUSCA ORGANICA,CARTAO,A VISTA,154833.9355892942,2509.2521508480004,9/2021,0.0,388517385.9016973
3P,SOUB,BUSCA ORGANICA,CARTAO,A VISTA,231.31829599008,3.403741848,8/2021,0.0,787.3477642694859
3P,SHOP,COMPARADORES,CARTAO,A VISTA,23177.92772261443,107.263815924,9/2020,0.0,2486152.972738291
1P,SUBA,AFILIADOS,BOLETO,A VISTA,623.92858134996,6.660922188,5/2020,0.0,4155.939731241312
1P,SHOP,BUSCA PPC,CARTAO,A PRAZO,2864.58564298608,27.84178566,8/2020,14.322928214930398,79755.1794767317
3P,SHOP,AFILIADOS,CARTAO,A PRAZO,83445.03575627937,517.886700117,5/2020,417.2251787813968,43215074.20896459
3P,SHOP,BUSCA ORGANICA,PIX,A VISTA,17237.0797427892,91.708698368,2/2022,0.0,1580790.146876618
3P,SOUB,BUSCA ORGANICA,CARTAO,A VISTA,148.45356943536,1.469982864,4/2022,0.0,218.2242031696134
1P,ACOM,TRAFEGO DIRETO,CARTAO,A VISTA,141142.0377031224,4034.271638256,2/2020,0.0,569405319.6713657
3P,ACOM,TRAFEGO DIRETO,CARTAO,A VISTA,363321.0081391037,3451.9251517740004,2/2020,0.0,1254156926.1632583
3P,SUBA,BUSCA ORGANICA,AME,A VISTA,19790.95998562896,148.808406144,1/2021,0.0,2945061.2115211263
3P,ACOM,AFILIADOS,PIX,A VISTA,54482.84482547404,437.2499143200001,3/2021,0.0,23822619.231848385
3P,ACOM,COMPARADORES,CARTAO,A PRAZO,53608.364690725,257.8362909240001,9/2021,268.041823453625,13822181.914357664
3P,SHOP,AFILIADOS,CARTAO,A VISTA,59846.46114062042,268.823116254,1/2022,0.0,16088112.180595497
