Canal,Marca,Origem Tráfego,MDP,Parcelamento,Receita,Pedidos,Mês/Ano,Custo Parcelamento,Volume Venda
3P,SHOP,BUSCA PPC,PIX,A VISTA,8421.926778533645,62.98629981600001,2/2021,0.0,530466.0051011193
3P,SUBA,BUSCA ORGANICA,CARTAO,A PRAZO,110774.96601669812,761.7754659060001,6/2020,553.8748300834907,84385651.34809156
1P,ACOM,AFILIADOS,CARTAO,A PRAZO,70153.23288427798,1009.4432031600002,3/2020,350.76616442139,70815704.11473502
3P,SUBA,TRAFEGO DIRETO,AME,A VISTA,73088.69390186078,482.4462556980001,9/2021,0.0,35261366.70680999
3P,ACOM,COMPARADORES,BOLETO,A VISTA,13679.37549398142,94.167819513,1/2021,0.0,1288156.9625677974
1P,ACOM,COMPARADORES,PIX,A VISTA,3548.1197547843617,61.13644011600002,9/2021,0.0,216919.4109127708
3P,SUBA,TRAFEGO DIRETO,AME,A VISTA,27627.116418002908,164.78906738000003,2/2022,0.0,4552646.748921386
1P,SUBA,BUSCA ORGANICA,CARTAO,A PRAZO,985.851414632,9.17314888,3/2022,4.9292570731600005,9043.361799977947
1P,SUBA,TRAFEGO DIRETO,BOLETO,A VISTA,281.32926720927,4.650262692,1/2021,0.0,1308.254995470967
3P,SHOP,COMPARADORES,PIX,A VISTA,9449.389570528798,64.14744252000001,3/2021,0.0,606154.1743245836
3P,SHOP,COMPARADORES,BOLETO,A VISTA,4542.109851359361,16.292310076,1/2022,0.0,74001.46209760098
1P,SHOP,TRAFEGO DIRETO,CARTAO,A PRAZO,5795.31060630201,56.195891748,12/2021,28.976553031510047,325672.647477784
3P,SUBA,COMPARADORES,AME,A VISTA,2084.9207954971203,11.759862912,4/2022,0.0,24518.382737424123
3P,B2B,BUSCA PPC,PIX,A VISTA,1304.9919873446402,8.819897184,4/2022,0.0,11509.895154323556
3P,SOUB,BUSCA PPC,AME,A VISTA,1203.6523091497202,7.957242648000001,10/2021,0.0,9577.753487729837
1P,SUBA,COMPARADORES,CARTAO,A VISTA,128.93669811176002,1.4329484120000002,2/2022,0.0,184.75963680777
3P,SHOP,BUSCA PPC,BOLETO,A VISTA,69287.78622288149,314.530221822,5/2021,0.0,21793102.770238232
1P,SHOP,BUSCA PPC,BOLETO,A VISTA,951.8749571184004,8.566703280000002,3/2020,0.0,8154.430317296061
3P,SHOP,AFILIADOS,CARTAO,A PRAZO,18093.774075832003,65.52249200000001,3/2022,90.46887037916002,1185549.16713351
3P,ACOM,BUSCA ORGANICA,CARTAO,A PRAZO,505906.872177747,3168.567473337,1/2020,2529.534360888735,1603000059.7200685
3P,SHOP,COMPARADORES,CARTAO,A PRAZO,7900.230323417601,32.76124600000001,3/2022,39.501151617088006,258821.38908214364
1P,SUBA,COMPARADORES,AME,A VISTA,255.19554505379995,1.7018709239999998,8/2021,0.0,434.3098780613941
3P,SHOP,AFILIADOS,CARTAO,A VISTA,17182.520307134488,82.59623560500002,7/2021,0.0,1419211.4955757775
1P,ACOM,BUSCA PPC,CARTAO,A VISTA,364127.6031170266,8669.068660560002,3/2021,0.0,3156647192.626646
3P,SUBA,COMPARADORES,BOLETO,A VISTA,304.63924873536,4.409948592,4/2022,0.0,1343.4434260284388
3P,ACOM,AFILIADOS,CARTAO,A VISTA,140917.95855733036,1223.6949982710005,7/2021,0.0,172440601.05316526
3P,SHOP,COMPARADORES,CARTAO,A VISTA,27904.800642443068,106.87920159,5/2021,0.0,2982442.813192434
3P,ACOM,BUSCA ORGANICA,CARTAO,A VISTA,603510.0760969603,5877.767210430001,9/2020,0.0,3547291736.4468284
1P,ACOM,BUSCA PPC,CARTAO,A VISTA,221833.7860840028,3609.53076498,11/2020,0.0,800715875.5822004
1P,ACOM,AFILIADOS,PIX,A VISTA,68622.45804183598,1630.0394488800002,4/2021,0.0,111857313.68730529
3P,ACOM,TRAFEGO DIRETO,PIX,A VISTA,362462.3849858398,3009.0443986560003,7/2021,0.0,1090665409.265136
3P,SUBA,BUSCA PPC,BOLETO,A VISTA,97521.77909615096,792.649740372,5/2020,0.0,77300612.8811796
3P,SHOP,BUSCA ORGANICA,CARTAO,A PRAZO,20595.38062960476,126.099460256,2/2022,102.9769031480238,2597066.381160038
3P,SHOP,AFILIADOS,CARTAO,A VISTA,18185.24643977028,208.729587744,9/2020,0.0,3795798.992396294
3P,SOUB,TRAFEGO DIRETO,PIX,A VISTA,348.56233671168,1.469982864,4/2022,0.0,512.3806620019677
3P,ACOM,COMPARADORES,CARTAO,A VISTA,39970.321536950505,276.690630174,1/2021,0.0,11059413.454316238
1P,SOUB,AFILIADOS,CARTAO,A PRAZO,6.18484938036,1.162565673,1/2021,0.0309242469018,7.190293582281857
3P,SUBA,COMPARADORES,BOLETO,A VISTA,5576.20489906536,33.906505332,11/2021,0.0,189069.62114248416
3P,SUBA,TRAFEGO DIRETO,CARTAO,A VISTA,57665.08983758913,362.110036275,6/2021,0.0,20881107.77289053
3P,ACOM,TRAFEGO DIRETO,PIX,A VISTA,287317.5844784079,2310.2527821360004,10/2021,0.0,663776248.8978373
3P,SOUB,BUSCA PPC,CARTAO,A PRAZO,71.6090650653,1.526845737,5/2021,0.3580453253265,109.33599572550892
3P,SHOP,TRAFEGO DIRETO,BOLETO,A VISTA,31982.87496275629,314.59510662900004,7/2020,0.0,10061655.959210292
1P,SHOP,BUSCA PPC,CARTAO,A PRAZO,4217.89575710724,43.295994222,5/2020,21.0894787855362,182617.99032871332
1P,SUBA,BUSCA ORGANICA,BOLETO,A VISTA,66.19206067680001,1.4277838800000002,3/2020,0.0,94.50795721831696
3P,SUBA,BUSCA PPC,CARTAO,A PRAZO,95497.1079180726,551.1301233900001,2/2021,477.485539590363,52631332.87027551
3P,SHOP,AFILIADOS,CARTAO,A VISTA,31337.386782740763,224.51280737400003,7/2020,0.0,7035644.682358012
1P,ACOM,TRAFEGO DIRETO,BOLETO,A VISTA,1539.5426332525803,22.904109024000004,2/2021,0.0,35261.85231911315
1P,SHOP,COMPARADORES,AME,A VISTA,563.1272319477602,4.405512024000001,4/2021,0.0,2480.8637913876946
1P,ACOM,AFILIADOS,CARTAO,A VISTA,135943.32813755766,2696.940970932,8/2020,0.0,366631131.3790322
3P,ACOM,BUSCA PPC,CARTAO,A VISTA,2042912.3455013311,9671.017262256,4/2022,0.0,19757040558.619267
3P,ACOM,BUSCA ORGANICA,CARTAO,A VISTA,868556.6491314009,7351.296044394,12/2020,0.0,6385017059.091775
3P,B2B,TRAFEGO DIRETO,BOLETO,A VISTA,164569.59662604422,593.860459491,6/2021,0.0,97731376.27059115
3P,ACOM,BUSCA PPC,CARTAO,A VISTA,1160903.6181580045,9456.609933624002,10/2020,0.0,10978212687.453032
3P,SUBA,TRAFEGO DIRETO,BOLETO,A VISTA,42028.94959939602,325.173122853,12/2020,0.0,13666684.791466948
3P,ACOM,BUSCA ORGANICA,CARTAO,A PRAZO,331137.8583685648,1854.2865236,3/2022,1655.689291842824,614024468.2265953
3P,SHOP,AFILIADOS,CARTAO,A PRAZO,26074.883631665554,211.107158292,12/2020,130.3744181583278,5504594.5862755
3P,SUBA,TRAFEGO DIRETO,AME,A VISTA,50686.91951592168,368.68557602400006,10/2021,0.0,18687536.118609715
1P,SUBA,AFILIADOS,CARTAO,A PRAZO,6370.497258620041,56.328227865,6/2021,31.85248629310021,358838.82119690755
1P,SUBA,TRAFEGO DIRETO,CARTAO,A PRAZO,6421.97293727136,85.25900611200001,4/2022,32.1098646863568,547531.0299099175
1P,ACOM,COMPARADORES,CARTAO,A VISTA,1372.2111408120904,23.25131346,1/2021,0.0,31905.711368326112
3P,SUBA,COMPARADORES,AME,A VISTA,12093.68853740304,73.42520040000001,4/2021,0.0,887981.5044340013
3P,SOUB,BUSCA PPC,PIX,A VISTA,2797.231364855281,19.93579569000001,9/2021,0.0,55765.03298741474
1P,SUBA,BUSCA ORGANICA,CARTAO,A PRAZO,4923.815746677451,43.204184778000005,7/2021,24.61907873338725,212729.44533227867
3P,ACOM,AFILIADOS,CARTAO,A VISTA,199034.81984562456,1567.552976598,1/2022,0.0,311997624.2956554
3P,B2B,TRAFEGO DIRETO,CARTAO,A PRAZO,4543.265417515201,11.422271040000002,3/2020,22.716327087576005,51894.4090055174
3P,SHOP,TRAFEGO DIRETO,BOLETO,A VISTA,31344.597525877685,322.54879400400006,10/2020,0.0,10110162.130512612
3P,SHOP,BUSCA PPC,AME,A VISTA,20395.40835901764,136.14967392,8/2021,0.0,2776828.197545493
3P,SHOP,BUSCA PPC,CARTAO,A PRAZO,95173.54047705037,529.281857364,8/2021,475.8677023852518,50373628.27560104
1P,ACOM,BUSCA PPC,BOLETO,A VISTA,444.55851077904,8.845175304,11/2021,0.0,3932.197960725783
1P,SUBA,BUSCA ORGANICA,PIX,A VISTA,316.81761603012,5.304828432000001,10/2021,0.0,1680.6630972750395
1P,SUBA,BUSCA PPC,CARTAO,A VISTA,2098.54732479168,29.48391768,11/2021,0.0,61873.39657174212
3P,SOUB,BUSCA ORGANICA,CARTAO,A VISTA,983.4966454068,6.431235216,11/2020,0.0,6325.098260758077
3P,ACOM,TRAFEGO DIRETO,CARTAO,A VISTA,1094193.0627153504,10431.987800598,6/2021,0.0,11414608681.7455
3P,SHOP,COMPARADORES,BOLETO,A VISTA,710.0017233120001,5.879931456,4/2022,0.0,4174.761466716438
3P,SHOP,BUSCA ORGANICA,CARTAO,A VISTA,25303.287759597173,272.508072888,9/2020,0.0,6895350.185098345
1P,SHOP,AFILIADOS,PIX,A VISTA,19.29644148861,1.609377939,6/2021,0.0,31.055267232973254
3P,SOUB,BUSCA ORGANICA,CARTAO,A VISTA,120.3885340973,1.163736434,1/2022,0.0,140.10052336487934
3P,SOUB,AFILIADOS,CARTAO,A VISTA,478.21482531648,2.939965728,4/2022,0.0,1405.935197051958
1P,SHOP,BUSCA ORGANICA,CARTAO,A VISTA,639.0461570608801,18.566899512000003,10/2021,0.0,11865.10578167913
3P,ACOM,TRAFEGO DIRETO,CARTAO,A VISTA,507759.05445832416,4005.765880644001,9/2021,0.0,2033963895.937214
3P,ACOM,BUSCA PPC,CARTAO,A PRAZO,862813.868597469,5873.071043015999,1/2020,4314.0693429873445,5067367147.172406
3P,ACOM,BUSCA PPC,AME,A VISTA,327635.85916443873,1938.779201436,2/2022,0.0,635213589.3926283
3P,ACOM,AFILIADOS,CARTAO,A PRAZO,218030.13558455728,1385.778282216,1/2021,1090.1506779227864,302141426.76168936
3P,SHOP,BUSCA ORGANICA,AME,A VISTA,102007.66040518686,323.054726118,5/2020,0.0,32954056.794135597
3P,SHOP,BUSCA PPC,BOLETO,A VISTA,48005.77783256208,314.25985771200004,4/2021,0.0,15086288.911014846
3P,SUBA,BUSCA PPC,CARTAO,A PRAZO,109425.65430557748,571.828630464,8/2021,547.1282715278874,62572722.03918546
3P,SUBA,COMPARADORES,BOLETO,A VISTA,31248.563664712816,188.46747216000003,3/2020,0.0,5889337.802519251
3P,SUBA,COMPARADORES,AME,A VISTA,25215.16304515801,155.62844292000003,3/2020,0.0,3924196.562691867
3P,SHOP,AFILIADOS,PIX,A VISTA,2215.7706572302804,19.93579569000001,9/2021,0.0,44173.15111843991
1P,SUBA,TRAFEGO DIRETO,CARTAO,A PRAZO,4405.556034754561,40.0400262,4/2020,22.027780173772804,176398.5790571407
1P,ACOM,COMPARADORES,AME,A VISTA,3067.513120545899,64.66464231299999,1/2020,0.0,198359.63873053496
1P,SHOP,TRAFEGO DIRETO,CARTAO,A PRAZO,2144.7325190544,23.142514368000004,10/2020,10.723662595272,49634.5031377333
3P,SHOP,AFILIADOS,BOLETO,A VISTA,14304.719112891327,105.238535529,1/2020,0.0,1505407.690594379
1P,ACOM,TRAFEGO DIRETO,CARTAO,A PRAZO,2500879.745012855,36867.626980674,12/2021,12504.398725064277,92201501562.65706
1P,SUBA,TRAFEGO DIRETO,BOLETO,A VISTA,3518.669454424559,25.625616768,4/2020,0.0,90168.0749723514
1P,SUBA,AFILIADOS,CARTAO,A PRAZO,3131.6212961432007,22.277647280000004,3/2022,15.658106480716004,69765.15465001467
3P,SHOP,COMPARADORES,PIX,A VISTA,2640.2014603164,10.214862498,12/2020,0.0,26969.294884150822
3P,SHOP,BUSCA ORGANICA,CARTAO,A VISTA,56696.473034740906,526.5729027000001,6/2020,0.0,29854826.378755804
1P,SUBA,BUSCA PPC,AME,A VISTA,377.27037646038,8.046889695,6/2021,0.0,3035.853104567803
3P,SHOP,TRAFEGO DIRETO,CARTAO,A PRAZO,38698.23547726146,282.586364754,2/2020,193.49117738630733,10935593.68591359
1P,ACOM,TRAFEGO DIRETO,PIX,A VISTA,350033.42040582147,13592.157198930005,2/2021,0.0,4757709275.035078
3P,ACOM,COMPARADORES,BOLETO,A VISTA,13050.732691738924,105.93150423600002,2/2021,0.0,1382483.7454178457
1P,SUBA,BUSCA ORGANICA,PIX,A VISTA,213.26571215796005,7.164742060000001,2/2022,0.0,1527.99381785399
3P,SHOP,AFILIADOS,CARTAO,A PRAZO,18824.44938772368,129.044789703,1/2021,94.1222469386184,2429197.112513569
3P,SHOP,COMPARADORES,AME,A VISTA,25149.08520719161,84.23924892000001,3/2020,0.0,2118540.048878904
3P,B2B,TRAFEGO DIRETO,CARTAO,A VISTA,7270.25974925976,33.633622008,4/2020,0.0,244525.16830657964
3P,ACOM,COMPARADORES,BOLETO,A VISTA,16176.9115157304,145.31359428000002,3/2021,0.0,2350725.1567003075
3P,ACOM,COMPARADORES,AME,A VISTA,69499.09272240737,296.313372684,11/2021,0.0,20593510.563054565
3P,SUBA,BUSCA PPC,CARTAO,A PRAZO,88668.57595785937,452.652496191,1/2020,443.3428797892969,40136052.24102633
3P,SUBA,BUSCA PPC,AME,A VISTA,40421.13085172307,262.862217432,4/2021,0.0,10625188.086792955
1P,SHOP,AFILIADOS,PIX,A VISTA,8409.122903471642,182.800289616,11/2021,0.0,1537190.102171155
3P,ACOM,AFILIADOS,CARTAO,A PRAZO,316313.4288002586,1388.8604330700002,9/2021,1581.5671440012932,439315205.7093839
1P,ACOM,BUSCA PPC,AME,A VISTA,85089.58233963647,1283.0826395790002,6/2020,0.0,109176965.90901545
3P,SUBA,TRAFEGO DIRETO,CARTAO,A VISTA,76361.0108452896,496.1608309200001,3/2021,0.0,37887342.59089002
3P,SHOP,BUSCA ORGANICA,CARTAO,A VISTA,25122.385400325365,201.05059357200005,10/2020,0.0,5050870.496679963
3P,SUBA,BUSCA ORGANICA,PIX,A VISTA,22258.914217890117,131.294503692,10/2021,0.0,2922473.094960685
3P,SHOP,BUSCA PPC,CARTAO,A VISTA,36864.834802442834,223.28091172800004,9/2021,0.0,8231213.925391542
3P,SUBA,BUSCA ORGANICA,AME,A VISTA,13480.08095893872,61.739280288,4/2022,0.0,832250.4966288495
3P,ACOM,COMPARADORES,BOLETO,A VISTA,20424.26212910568,164.47244889600003,4/2021,0.0,3359228.4092678432
1P,ACOM,TRAFEGO DIRETO,BOLETO,A VISTA,2885.422720930801,25.700109840000003,3/2020,0.0,74155.68086275326
1P,SHOP,BUSCA ORGANICA,BOLETO,A VISTA,221.33095995864,4.823426412,11/2020,0.0,1067.5735980578186
1P,SUBA,AFILIADOS,CARTAO,A PRAZO,498.8203380131101,6.929407635000001,7/2020,2.4941016900655506,3456.529458721326
3P,SHOP,BUSCA ORGANICA,AME,A VISTA,7654.946829046202,55.82022793200001,9/2021,0.0,427300.8768046997
3P,SHOP,COMPARADORES,AME,A VISTA,6210.54118526283,30.578180841,6/2021,0.0,189907.0514834453
3P,SOUB,BUSCA ORGANICA,CARTAO,A VISTA,235.04035454172,1.856119044,8/2020,0.0,436.2628781733984
1P,SUBA,TRAFEGO DIRETO,BOLETO,A VISTA,501.0964583086799,3.712238088,8/2020,0.0,1860.189358295385
3P,ACOM,BUSCA PPC,BOLETO,A VISTA,929042.2254183452,9346.943716128,4/2020,0.0,8683705390.891573
3P,ACOM,TRAFEGO DIRETO,CARTAO,A PRAZO,1734133.6796337226,9247.630780332,11/2021,8670.668398168613,16036627992.991203
3P,SOUB,TRAFEGO DIRETO,AME,A VISTA,338.4759441540001,2.6182629600000005,3/2021,0.0,886.2190274294471
1P,SHOP,BUSCA PPC,AME,A VISTA,121.59944893236,2.8928142960000005,10/2020,0.0,351.76462425725305
3P,ACOM,BUSCA ORGANICA,AME,A VISTA,227912.25003039365,2052.4905414870004,7/2020,0.0,467787737.4764033
1P,SUBA,BUSCA ORGANICA,AME,A VISTA,109.2825781752,1.4277838800000002,3/2020,0.0,156.0319034833904
3P,SOUB,BUSCA PPC,AME,A VISTA,2808.805709323141,26.684937657000003,7/2021,0.0,74952.80524391368
3P,SHOP,AFILIADOS,CARTAO,A VISTA,290515.0212071748,1225.056779604,11/2021,0.0,355897396.3066493
3P,ACOM,COMPARADORES,CARTAO,A VISTA,79399.61269137764,618.087641652,8/2020,0.0,49075919.35649581
3P,SOUB,TRAFEGO DIRETO,CARTAO,A PRAZO,65.20415239702001,1.163736434,1/2022,0.3260207619851,75.88044779250062
1P,ACOM,BUSCA PPC,BOLETO,A VISTA,2164.8321805872006,17.018709240000003,3/2021,0.0,36842.64943480874
3P,ACOM,TRAFEGO DIRETO,PIX,A VISTA,416223.7965239428,4119.836767560001,3/2021,0.0,1714774100.452752
3P,SHOP,BUSCA PPC,BOLETO,A VISTA,105117.33703902773,767.166901992,4/2020,0.0,80642541.80187981
3P,SHOP,BUSCA ORGANICA,PIX,A VISTA,6258.524084144462,57.149280978000014,9/2021,0.0,357670.15139235207
3P,B2B,TRAFEGO DIRETO,CARTAO,A VISTA,75550.86328132745,226.922289399,6/2021,0.0,17144174.86186967
3P,SHOP,AFILIADOS,BOLETO,A VISTA,4094.8650295518,28.658968240000004,2/2022,0.0,117354.60682901173
3P,SUBA,BUSCA PPC,CARTAO,A VISTA,76017.64990547739,521.0684802960001,2/2021,0.0,39610401.31192048
3P,B2B,TRAFEGO DIRETO,CARTAO,A VISTA,83917.42133999281,256.510083816,11/2021,0.0,21525664.781544145
3P,SUBA,BUSCA PPC,CARTAO,A PRAZO,190129.98476519057,968.709460227,12/2020,950.6499238259528,184180714.9148555
1P,SUBA,BUSCA ORGANICA,BOLETO,A VISTA,309.51640177089,4.995691641,5/2020,0.0,1546.2485010792327
1P,SUBA,BUSCA PPC,BOLETO,A VISTA,220.26595347018,2.8630136280000005,2/2021,0.0,630.6244265695393
3P,ACOM,BUSCA ORGANICA,CARTAO,A VISTA,545470.7462517079,3571.561119984,12/2021,0.0,1948182109.4012585
3P,ACOM,BUSCA PPC,CARTAO,A VISTA,1427347.8148211522,10521.341099794,1/2022,0.0,15017613227.778946
1P,SUBA,BUSCA ORGANICA,AME,A VISTA,1363.3947223788898,10.214862498,12/2020,0.0,13926.889619599244
1P,B2B,TRAFEGO DIRETO,BOLETO,A VISTA,294.45410436456,1.607808804,11/2020,0.0,473.4259013712744
1P,SUBA,COMPARADORES,AME,A VISTA,162.58815992367002,3.5104860180000004,6/2020,0.0,570.7634621043916
1P,SUBA,BUSCA ORGANICA,CARTAO,A VISTA,812.71576846335,9.991383282,5/2020,0.0,8120.154742042497
3P,SOUB,BUSCA ORGANICA,CARTAO,A PRAZO,183.52261713978,1.162565673,1/2021,0.9176130856989,213.35709490582968
3P,SUBA,BUSCA ORGANICA,CARTAO,A PRAZO,52196.15273355919,288.83136729,2/2020,260.98076366779594,15075886.161311572
1P,SHOP,AFILIADOS,CARTAO,A VISTA,2067.23745384975,17.55243009,6/2020,0.0,36285.04088812736
1P,ACOM,COMPARADORES,CARTAO,A VISTA,30323.97346253857,791.643189708,11/2021,0.0,24005767.07650478
1P,SUBA,TRAFEGO DIRETO,AME,A VISTA,750.63369232086,7.806253170000001,2/2020,0.0,5859.636640188518
1P,SUBA,BUSCA PPC,CARTAO,A VISTA,530.38396826352,3.215617608,11/2020,0.0,1705.5120273490884
3P,SHOP,AFILIADOS,CARTAO,A VISTA,67324.5515104956,251.320515873,12/2021,0.0,16920041.016536117
3P,SUBA,COMPARADORES,CARTAO,A PRAZO,29556.324262271035,91.901029896,8/2021,147.78162131135517,2716256.6396428403
1P,SUBA,COMPARADORES,BOLETO,A VISTA,304.61675963460004,2.7717630540000004,7/2020,0.0,844.325479984383
3P,SUBA,BUSCA ORGANICA,CARTAO,A PRAZO,17862.934291214315,103.172285664,2/2022,89.31467145607158,1842959.759490425
1P,SUBA,BUSCA PPC,AME,A VISTA,1970.61660597816,23.587134144,11/2021,0.0,46481.19823160086
3P,SHOP,AFILIADOS,CARTAO,A PRAZO,68284.76655151648,335.38332953400004,7/2020,341.42383275758243,22901572.36249952
1P,ACOM,BUSCA ORGANICA,BOLETO,A VISTA,6681.823981801021,82.49642142300002,6/2020,0.0,551226.567076965
3P,SHOP,BUSCA ORGANICA,CARTAO,A VISTA,68122.93941592018,453.402082728,11/2020,0.0,30887082.61273157
3P,SUBA,TRAFEGO DIRETO,CARTAO,A PRAZO,41620.53114693655,232.13764274400003,2/2022,208.10265573468277,9661691.990203084
3P,ACOM,BUSCA PPC,PIX,A VISTA,301346.4135247312,2088.5684416260005,2/2021,0.0,629382609.2849321
1P,SHOP,TRAFEGO DIRETO,CARTAO,A VISTA,17926.1459059766,986.834693376,4/2021,0.0,17690142.698537856
3P,SHOP,TRAFEGO DIRETO,CARTAO,A VISTA,46324.359099702175,360.39535863,1/2021,0.0,16695084.011042072
3P,SHOP,BUSCA ORGANICA,PIX,A VISTA,37683.56036504955,725.4409799520001,4/2021,0.0,27337198.959301896
1P,ACOM,COMPARADORES,PIX,A VISTA,5733.3478623174,90.199158972,8/2021,0.0,517143.15527494345
3P,SHOP,BUSCA ORGANICA,AME,A VISTA,8743.217531749318,72.27224729099999,1/2020,0.0,631891.9795735932
3P,B2B,TRAFEGO DIRETO,AME,A VISTA,2622.138178465769,18.727247913,12/2020,0.0,49105.4317302707
3P,SOUB,BUSCA ORGANICA,CARTAO,A VISTA,1220.93847964296,8.046889695,6/2021,0.0,9824.757270067905
3P,SOUB,TRAFEGO DIRETO,CARTAO,A PRAZO,3205.2549331139703,16.519247121000003,7/2021,16.02627466556985,52948.39832591401
3P,SOUB,BUSCA PPC,PIX,A VISTA,1151.5404761716802,3.491209302,1/2022,0.0,4020.26882204008
1P,SUBA,BUSCA PPC,AME,A VISTA,1518.7687230512695,16.795303107,5/2021,0.0,25508.18105307741
3P,SHOP,TRAFEGO DIRETO,BOLETO,A VISTA,29747.791472767207,244.15104348000003,3/2020,0.0,7262954.32930156
1P,SHOP,BUSCA PPC,AME,A VISTA,669.7101455549698,3.803802489,1/2020,0.0,2547.445118570546
1P,ACOM,COMPARADORES,AME,A VISTA,13817.427326398083,598.283025648,4/2022,0.0,8266732.227508801
3P,SUBA,BUSCA ORGANICA,CARTAO,A PRAZO,120914.5364113846,686.76404628,8/2020,604.572682056923,83039756.27995287
1P,ACOM,COMPARADORES,CARTAO,A PRAZO,754.9817737029301,10.463091057,1/2021,3.774908868514651,7899.443044629126
1P,SHOP,BUSCA PPC,AME,A VISTA,249.71797282812,3.330461094,5/2020,0.0,831.6759929766027
3P,B2B,TRAFEGO DIRETO,CARTAO,A PRAZO,2145.7672588632604,10.928754438,2/2020,10.728836294316302,23450.563453216957
1P,SHOP,TRAFEGO DIRETO,PIX,A VISTA,2633.089727792401,71.805861678,12/2021,0.0,189071.27677962385
1P,ACOM,BUSCA PPC,PIX,A VISTA,67538.3053886342,1324.1438029500002,2/2021,0.0,89430428.54210457
3P,ACOM,BUSCA ORGANICA,AME,A VISTA,157541.44104048985,1356.6895544099998,1/2020,0.0,213734827.44633144
1P,SHOP,TRAFEGO DIRETO,BOLETO,A VISTA,1281.0816625487405,15.797187081000002,6/2020,0.0,20237.48668932097
3P,SHOP,TRAFEGO DIRETO,CARTAO,A VISTA,34131.623652449256,223.645191792,7/2021,0.0,7633373.517924378
3P,ACOM,BUSCA ORGANICA,AME,A VISTA,273126.75752627954,1984.362998787,6/2021,0.0,541982631.6138179
3P,ACOM,BUSCA PPC,AME,A VISTA,558911.9679626183,4437.55229904,3/2020,0.0,2480201088.393488
3P,SUBA,TRAFEGO DIRETO,CARTAO,A VISTA,47328.92658345716,303.036264957,1/2020,0.0,14342381.13627492
3P,SUBA,TRAFEGO DIRETO,AME,A VISTA,29491.56060865728,142.588337808,4/2022,0.0,4205152.60655233
3P,SHOP,BUSCA PPC,CARTAO,A VISTA,62562.81010580017,415.292668644,2/2020,0.0,25981876.366705567
3P,SHOP,AFILIADOS,AME,A VISTA,20448.41412502391,198.798730083,1/2021,0.0,4065118.7602660335
3P,SUBA,COMPARADORES,AME,A VISTA,16538.93522417331,91.27263646800002,6/2020,0.0,1509552.2222837708
3P,SOUB,BUSCA ORGANICA,CARTAO,A PRAZO,496.73030311380006,4.422587652,11/2021,2.4836515155690004,2196.833304925309
3P,SUBA,BUSCA ORGANICA,PIX,A VISTA,28618.98273592481,807.7013948729999,5/2021,0.0,23115592.27565277
3P,SHOP,COMPARADORES,BOLETO,A VISTA,5469.6586226109,59.59290566100001,7/2020,0.0,325952.8502951266
3P,SHOP,BUSCA ORGANICA,CARTAO,A VISTA,41027.43261429072,360.087094536,8/2020,0.0,14773449.006351473
1P,ACOM,COMPARADORES,BOLETO,A VISTA,372.11241803262,6.660922188,5/2020,0.0,2478.6118617038096
1P,ACOM,AFILIADOS,BOLETO,A VISTA,144.79573317183,1.609377939,6/2021,0.0,233.03105862807368
3P,SUBA,COMPARADORES,AME,A VISTA,8225.96909758485,56.821142607000006,7/2020,0.0,467408.9631746439
1P,SHOP,COMPARADORES,CARTAO,A PRAZO,1900.3580096423095,13.741611633,5/2021,9.501790048211548,26113.98173216549
3P,ACOM,AFILIADOS,PIX,A VISTA,43922.21291478402,402.8154874890001,7/2021,0.0,17692547.606864378
3P,SUBA,COMPARADORES,CARTAO,A PRAZO,37089.585274013225,138.951306426,2/2020,185.4479263700661,5153646.328622669
1P,SHOP,AFILIADOS,CARTAO,A PRAZO,831.6551427501602,8.894979219000001,7/2021,4.158275713750801,7397.555212137155
1P,ACOM,BUSCA ORGANICA,CARTAO,A VISTA,117189.78998565696,2649.7191127140004,2/2021,0.0,310520026.339935
1P,SUBA,BUSCA PPC,CARTAO,A PRAZO,862.13545178334,4.650262692,1/2021,4.310677258916701,4009.1563268786313
3P,ACOM,BUSCA ORGANICA,BOLETO,A VISTA,99054.5337561888,892.585844878,1/2022,0.0,88414674.70176415
3P,SUBA,TRAFEGO DIRETO,AME,A VISTA,168831.90290597762,998.02093212,3/2020,0.0,168497773.10981715
3P,SUBA,BUSCA PPC,CARTAO,A VISTA,95592.69096872956,782.1865676340001,2/2020,0.0,74771318.83972825
3P,SHOP,BUSCA PPC,CARTAO,A PRAZO,76820.2682274073,319.615913028,10/2021,384.1013411370365,24552980.16855865
3P,ACOM,COMPARADORES,CARTAO,A PRAZO,106094.53914469348,503.69687474400007,4/2021,530.4726957234674,53439487.79458708
3P,ACOM,TRAFEGO DIRETO,BOLETO,A VISTA,186708.29078940983,1578.026604504,1/2022,0.0,294630650.1471579
3P,SUBA,BUSCA PPC,CARTAO,A VISTA,129743.2418045764,982.329276891,12/2020,0.0,127450584.90338369
3P,SHOP,TRAFEGO DIRETO,CARTAO,A VISTA,42570.68100420097,403.70589207000006,6/2020,0.0,17186034.75082836
3P,SUBA,AFILIADOS,BOLETO,A VISTA,10262.397344870007,68.591374707,1/2021,0.0,703911.9416741006
1P,ACOM,COMPARADORES,CARTAO,A VISTA,8144.939786176109,86.826331233,12/2020,0.0,707195.2397473671
1P,SUBA,AFILIADOS,PIX,A VISTA,259.64123578974,6.982418604,1/2022,0.0,1812.9237951438315
